feature_name,source
collections_Permanent Corduroy,Collection dummy variable
collections_Permanent Desert,Collection dummy variable
collections_Permanent Skateboard,Collection dummy variable
collections_Poles,Collection dummy variable
collections_Pt Day ,Collection dummy variable
collections_SANJO BSK33 ,Collection dummy variable
collections_SK EVO 100,Collection dummy variable
collections_SS'22 Heritage Echoes ,Collection dummy variable
collections_SS'23 // No balance,Collection dummy variable
collections_SS'23 || All Collection ,Collection dummy variable
collections_SS'23 || K100,Collection dummy variable
collections_SS'23 || K200,Collection dummy variable
collections_SS'23 || New In,Collection dummy variable
collections_SS'23 || Sneakers,Collection dummy variable
collections_SS'23 || Solid,Collection dummy variable
collections_SS'23 || Solid | K100,Collection dummy variable
collections_SS'23 || Solid | K200,Collection dummy variable
collections_SS'23 || Workwear,Collection dummy variable
collections_SS'23 || Workwear | Hoodies,Collection dummy variable
collections_SS'23 || Workwear | Shorts,Collection dummy variable
collections_SS'23 || Workwear | Sweats,Collection dummy variable
collections_SS'23 || Workwear | T-shirts,Collection dummy variable
collections_SS'23 || Workwear | Trousers,Collection dummy variable
collections_SS24,Collection dummy variable
collections_SS24 Sneakers,Collection dummy variable
collections_STC 70,Collection dummy variable
collections_STC'70,Collection dummy variable
collections_Sale Canvas,Collection dummy variable
collections_Sale Hoodie,Collection dummy variable
collections_Sale Workwear AW'23,Collection dummy variable
collections_Sanjo,Collection dummy variable
collections_Sanjo TEST,Collection dummy variable
collections_Shorts,Collection dummy variable
collections_Sl250 Marine,Collection dummy variable
collections_Solid - Promotions,Collection dummy variable
collections_Stc 70 Washed Low,Collection dummy variable
collections_Sweat,Collection dummy variable
collections_Sweats,Collection dummy variable
collections_Sweats | Permanent Collection,Collection dummy variable
collections_Sweatshirts,Collection dummy variable
collections_T-Shirts | Permanent Collection,Collection dummy variable
collections_T-shirt,Collection dummy variable
collections_T-shirts,Collection dummy variable
collections_Trousers,Collection dummy variable
collections_Vestuário,Collection dummy variable
collections_Washed,Collection dummy variable
collections_Weekend Promotion,Collection dummy variable
collections_old outlet ,Collection dummy variable
vendor_SANJO,Vendor dummy variable
min_price,Price-related feature from variants
max_price,Price-related feature from variants
has_discount,Price-related feature from variants
variant_size_100ml,Variant option dummy variable
variant_size_24,Variant option dummy variable
variant_size_25,Variant option dummy variable
variant_size_26,Variant option dummy variable
variant_size_27,Variant option dummy variable
variant_size_28,Variant option dummy variable
variant_size_29,Variant option dummy variable
variant_size_30,Variant option dummy variable
variant_size_31,Variant option dummy variable
variant_size_32,Variant option dummy variable
variant_size_33,Variant option dummy variable
variant_size_34,Variant option dummy variable
variant_size_35,Variant option dummy variable
variant_size_35 - 40,Variant option dummy variable
variant_size_35-40,Variant option dummy variable
variant_size_36,Variant option dummy variable
variant_size_37,Variant option dummy variable
variant_size_38,Variant option dummy variable
variant_size_39,Variant option dummy variable
