feature_name,source
description_aberto,TF-IDF from product descriptions
description_aberto em,TF-IDF from product descriptions
description_abstrato,TF-IDF from product descriptions
description_abstrato bege,TF-IDF from product descriptions
description_abstrato lilás,TF-IDF from product descriptions
description_abstrato rosa,TF-IDF from product descriptions
description_acesso,TF-IDF from product descriptions
description_acesso quaisquer,TF-IDF from product descriptions
description_acessórios,TF-IDF from product descriptions
description_acessórios fw,TF-IDF from product descriptions
description_acessórios phili,TF-IDF from product descriptions
description_acessórios rj,TF-IDF from product descriptions
description_acessórios summer,TF-IDF from product descriptions
description_acetinado,TF-IDF from product descriptions
description_acetinado disponível,TF-IDF from product descriptions
description_activewear,TF-IDF from product descriptions
description_activewear collection,TF-IDF from product descriptions
description_adaptável,TF-IDF from product descriptions
description_adaptável ao,TF-IDF from product descriptions
description_adaptável justo,TF-IDF from product descriptions
description_ajudar,TF-IDF from product descriptions
description_ajudar manter,TF-IDF from product descriptions
description_ajustáveis,TF-IDF from product descriptions
description_ajustáveis ao,TF-IDF from product descriptions
description_ajustáveis aperta,TF-IDF from product descriptions
description_ajustável,TF-IDF from product descriptions
description_ajustável atrás,TF-IDF from product descriptions
description_ajustável por,TF-IDF from product descriptions
description_algodão,TF-IDF from product descriptions
description_algodão 300g,TF-IDF from product descriptions
description_algodão orgânico,TF-IDF from product descriptions
description_almofadada,TF-IDF from product descriptions
description_almofadada com,TF-IDF from product descriptions
description_alça,TF-IDF from product descriptions
description_alça com,TF-IDF from product descriptions
description_alça cruzar,TF-IDF from product descriptions
description_alças,TF-IDF from product descriptions
description_alças ajustáveis,TF-IDF from product descriptions
description_alças elásticas,TF-IDF from product descriptions
description_alças reguláveis,TF-IDF from product descriptions
description_amachucada,TF-IDF from product descriptions
description_amachucada entre,TF-IDF from product descriptions
description_amarelo,TF-IDF from product descriptions
description_amarelo com,TF-IDF from product descriptions
description_amarelo floral,TF-IDF from product descriptions
description_amarelo laranja,TF-IDF from product descriptions
description_amarelo texturado,TF-IDF from product descriptions
description_amarelo torrado,TF-IDF from product descriptions
description_amovíveis,TF-IDF from product descriptions
description_amovíveis alças,TF-IDF from product descriptions
description_amovíveis aperta,TF-IDF from product descriptions
description_amovíveis duas,TF-IDF from product descriptions
description_amovíveis fecho,TF-IDF from product descriptions
description_amovíveis fitas,TF-IDF from product descriptions
description_amovíveis uma,TF-IDF from product descriptions
description_amovível,TF-IDF from product descriptions
description_amovível cintado,TF-IDF from product descriptions
description_animal,TF-IDF from product descriptions
description_animal contraste,TF-IDF from product descriptions
description_ao,TF-IDF from product descriptions
description_ao corpo,TF-IDF from product descriptions
description_ao mesmo,TF-IDF from product descriptions
description_aos,TF-IDF from product descriptions
description_aos ombros,TF-IDF from product descriptions
description_aparenta,TF-IDF from product descriptions
description_aparenta um,TF-IDF from product descriptions
description_aperta,TF-IDF from product descriptions
description_aperta com,TF-IDF from product descriptions
description_aperta nas,TF-IDF from product descriptions
description_apertar,TF-IDF from product descriptions
description_apertar disponível,TF-IDF from product descriptions
description_apertar nas,TF-IDF from product descriptions
description_aproveitamento,TF-IDF from product descriptions
description_aproveitamento matérias,TF-IDF from product descriptions
description_aro modelo,TF-IDF from product descriptions
description_assim,TF-IDF from product descriptions
description_assim um,TF-IDF from product descriptions
description_atilho,TF-IDF from product descriptions
description_atilho cintado,TF-IDF from product descriptions
